,Opportunity_cost,Y,C_bool
0,0.0,-3166.6666666666724,0
1,0.0,5334.939079942382,0
2,0.0,-1000.0000000000009,0
3,0.0,166.66666666666697,0
4,0.0,-1000.0,0
5,0.0,3662.231625674056,0
6,0.0,5663.152745970194,0
7,0.0,-1666.666666666667,0
8,0.0,10168.99424590822,0
9,0.0,6835.451048973342,0
10,0.0,-500.0,0
11,0.0,7666.949835993732,0
12,0.0,-333.33333333333326,0
13,0.0,993.1727262271306,0
14,0.0,5.011427594808993,0
15,0.0,501.0504121001077,0
16,0.0,-2333.333333333332,0
17,0.0,-2836.8865827649934,0
18,11440.679236203716,12452.248596380476,1
19,13073.632245480054,13287.404015855373,1
20,14239.96085988602,11708.393415475522,1
21,14128.075927990323,14155.255720968347,1
22,13825.059445776213,13809.278438421541,1
23,13899.955931074279,13940.40017663476,1
24,13918.804709175163,13912.433658039643,1
25,13631.793721260135,12791.59302580253,1
26,14099.700481035441,14138.997979009475,1
27,14099.88735944438,13566.395653495772,1
28,14147.619023226971,14254.824185368921,1
29,14184.211915855192,14176.834007153742,1
30,14279.608633548385,14326.077096039242,1
31,14308.582151656323,14310.851138347894,1
32,14313.590469669396,14319.293082856446,1
33,14311.684193821251,14301.10276292493,1
34,14311.451022918176,14301.927792160965,1
35,14311.585250658374,14305.8820563735,1
36,14311.689160184907,14306.945592879621,1
37,14311.679931680748,14311.434492919034,1
38,14311.599143381722,14314.81149297057,1
39,14311.709446568037,14322.617054141774,1
40,14311.603761598837,14317.672760346824,1
41,14311.691219763183,14314.91168389302,1
42,14311.714223399067,14302.494285978853,1
43,14311.536639240367,14315.57252174065,1
44,14311.645911011668,14313.661224980153,1
45,14311.60040053706,14316.076752119383,1
46,14311.573421577268,14309.276706474526,1
47,14311.577534334534,14303.938348601363,1
48,14311.55020619504,14309.807602940686,1
49,14311.694878117425,14309.595428244696,1
50,14311.520546037345,14306.79639530273,1
51,14311.716965556354,14318.780472624972,1
52,14311.494968167835,14316.407491556061,1
53,14311.697108110335,14313.827829375003,1
54,14311.805805439502,14307.368613591623,1
55,14311.521889074964,14311.959596150986,1
56,14311.681794333415,14308.726402273738,1
57,14311.55853476927,14311.47081862818,1
58,14311.595217098527,14309.945409503312,1
59,14311.59749606651,14316.29612969237,1
60,14311.576676287816,14317.184573161927,1
61,14311.582627888945,14311.35018885226,1
62,14311.644281069142,14315.69454111302,1
63,14311.638102605355,14320.03085781148,1
64,14311.698594456106,14312.584249064943,1
65,14311.616285193664,14308.758538154741,1
66,14311.616670607997,14312.473713501773,1
67,14311.574640085468,14315.083466030004,1
68,14311.679349321013,14310.886286295843,1
69,14311.653961383057,14314.013401392278,1
70,14311.704542084459,14315.421790998747,1
71,14311.567552511691,14314.401795753509,1
72,14311.423071062707,14314.48160838714,1
73,14311.46149634707,14315.663161059269,1
74,14311.581509795291,14311.736703925033,1
75,14311.58436402556,14304.429913440794,1
76,14311.546424160171,14322.215869512305,1
77,14311.592335168814,14315.103674979675,1
