,Opportunity_cost,Y,C_bool
0,0.0,5962.70194280221,0
1,0.0,6334.0994812773315,0
2,0.0,-1000.0000000000055,0
3,0.0,-333.33333333333303,0
4,0.0,-333.33333333333326,0
5,0.0,6663.963428678588,0
6,0.0,-1666.666666666667,0
7,0.0,-4333.333333333332,0
8,0.0,4996.597733417407,0
9,0.0,-166.66666666666652,0
10,0.0,-3334.7224721054636,0
11,0.0,998.1722935452362,0
12,0.0,4333.333333333335,0
13,0.0,-329.5120947782725,0
14,0.0,8841.874191714527,0
15,0.0,-1498.2073632413212,0
16,0.0,2999.170226692201,0
17,0.0,4830.52750948207,0
18,8854.31893447632,11000.347472970258,1
19,11071.92975392513,10999.482213707543,1
20,11073.82410307087,11752.320068066778,1
21,11415.436751653659,11518.159252394253,1
22,11448.438720797405,10775.94933096847,1
23,11807.924948064263,11945.938339213277,1
24,11900.642701136694,12035.046698180397,1
25,11979.234042010377,11602.607935443682,1
26,12270.000113065513,12587.58254384121,1
27,12913.335523635873,12491.544281836246,1
28,12953.859601452565,13118.625171273523,1
29,13438.023409736388,13407.09460370737,1
30,13606.098440911239,13843.916364104527,1
31,13924.536319968922,13974.823129556084,1
32,14102.554011949953,14278.402628311285,1
33,14263.729666961908,13907.423900103973,1
34,14292.840468010465,12262.332866735176,1
35,14148.616403552174,14391.552264181006,1
36,14197.288926954467,14209.00738415424,1
37,14737.680550644194,14619.968436207335,1
38,14752.50918065878,14754.680520741442,1
39,14713.196106241756,14723.004284167682,1
40,14715.9979843706,14718.284149585972,1
41,14713.339395017467,14708.213991283825,1
42,14712.856398451311,14707.317084235392,1
43,14712.404027959079,14709.72148304019,1
44,14711.900318833465,14715.214545515577,1
45,14711.631762532228,14710.741076141347,1
46,14711.485892058932,14711.34446295598,1
47,14711.536426632807,14711.894296416503,1
48,14711.349578156256,14711.55567685725,1
49,14711.372110873526,14708.86802695912,1
50,14711.136896361548,14709.014138151091,1
51,14711.309353515458,14712.820878822147,1
52,14711.290322020308,14705.138420887739,1
53,14711.114503827679,14711.30061239874,1
54,14711.095363207074,14712.958737022293,1
55,14710.886760045623,14705.188873719353,1
56,14710.94078653022,14704.997459740545,1
57,14710.804580766806,14710.34917606214,1
58,14710.83983102462,14717.113520318428,1
59,14710.944152410919,14707.42103708363,1
60,14710.896862639547,14706.756699699274,1
61,14710.814485498346,14717.059602983029,1
62,14710.94832342506,14712.664545671929,1
63,14710.866015125739,14714.739601488014,1
64,14710.803759809434,14715.846375418269,1
65,14710.964711806053,14708.043058777037,1
66,14710.89620929315,14715.52719696238,1
67,14710.941570976762,14713.705332660069,1
68,14710.837094859464,14709.302210109061,1
69,14710.784901324352,14702.86659322522,1
70,14710.658525794715,14717.112191988594,1
71,14710.895536937276,14706.529120198808,1
72,14710.801037226134,14715.893901513049,1
73,14710.756590118894,14703.527621337274,1
74,14710.78383747961,14709.261174430632,1
75,14710.745275490597,14703.019430299528,1
76,14710.532272152877,14716.902943336054,1
77,14710.891719034886,14709.012214328404,1
