,Opportunity_cost
0,0.2704609487391991
1,0.2704609664134523
2,0.03787794190124316
3,0.03787794190124316
4,0.03787794190124316
5,0.03787794190124316
6,0.03787794190124316
7,0.03787794190124316
8,0.03787794190124316
9,0.03787794190124316
10,0.03787794190124316
11,0.03787794190124316
12,0.03787794190124316
13,0.03787794190124316
14,3.642537589917424
15,3.642537589917424
16,0.03787794190124316
17,0.03787794190124316
18,0.2704609664134523
19,0.2704609664134523
20,0.2704609664134523
21,0.2704609664134523
22,0.2704609664134523
23,0.2704609664134523
24,0.1501048327030574
25,0.1501048327030574
26,0.1501048327030574
27,0.1501048327030574
28,0.1501048327030574
29,0.14792868011684135
30,0.14792868011684135
31,0.14792868011684135
32,0.14792868011684135
33,0.14792868011684135
34,0.14792868011684135
35,0.14792868011684135
36,0.14792868011684135
37,0.14792868011684135
38,0.14792868011684135
39,0.2704609664134523
40,0.2704609664134523
41,0.2704609664134523
42,0.2704609664134523
43,0.14792868011684135
44,0.14792868011684135
