,X1,X2,Opportunity_cost,Y,C_bool
0,0.25,0.25,0.0,30.39300084355737,0
1,2.75,1.25,0.0,29.6735622423577,1
2,1.25,4.75,0.0,25.317911526313175,1
3,0.7500000000000001,1.7500000000000002,0.0,36.35852924392301,0
4,4.25,0.7500000000000001,0.0,15.93019372960002,1
5,1.7500000000000002,3.250000000000001,0.0,37.579294011565764,0
6,3.250000000000001,2.75,0.0,32.03634247266784,1
7,3.75,2.25,0.0,29.92917939360451,1
8,2.25,4.25,0.0,20.868108152666014,0
9,4.75,3.75,0.0,15.084411150071064,1
10,2.5275000000000003,1.5975000000000001,8.129710925745911,32.78399995345952,1
11,2.1625,1.7774999999999999,8.129710925745911,34.430261532352546,0
12,0.8325,3.6424999999999996,8.129710925745911,30.155741703670085,1
13,2.2775,1.8074999999999999,6.628719707109177,35.76253870098508,1
14,2.2925,1.8575,6.0219803532660166,35.13146122299645,1
15,1.6825,1.1575,6.0219803532660166,30.46930993590635,1
16,3.0074999999999994,2.3575,6.0219803532660166,39.10470723033796,1
17,2.7225,2.1574999999999998,0.8188561145742455,40.88402802139948,1
18,2.7375000000000007,2.0825,0.8188561145742455,38.990996079597195,1
19,2.8225,2.3225000000000002,0.16406145052245336,40.34204156510585,1
20,2.6575000000000006,2.1725,0.8975902279973198,39.30830640931278,1
21,2.6925,2.1425,0.8975902279973198,39.61332380974263,1
22,2.8625,2.2525,0.8975902279973198,42.1873985805958,1
23,3.0874999999999995,2.1574999999999998,0.16406145052245336,39.857929211620146,1
24,2.8275000000000006,2.2575000000000003,0.16406145052245336,40.06186009538571,1
25,2.7625,2.1025,0.16406145052245336,42.67226331789021,1
26,2.9074999999999998,2.1174999999999997,0.26712973962006714,37.99903186024267,1
27,2.8325,2.2075,0.16406145052245336,42.03959786111799,1
28,2.8525,2.2775,0.16406145052245336,40.30205982206676,1
29,2.7625,2.0675000000000003,0.16406145052245336,40.920512297418256,1
30,2.8925,2.2875,0.16406145052245336,41.41240901680602,1
31,2.9074999999999998,2.4074999999999998,0.16406145052245336,40.424681434327645,1
32,2.9925,2.1625,0.16406145052245336,40.24048826192146,1
33,2.8775000000000004,2.2125,0.16406145052245336,39.59109442182816,1
34,2.7824999999999998,2.1225,0.16406145052245336,39.753478328330104,1
35,3.0825000000000005,2.0425,0.16406145052245336,41.62591990815332,1
36,2.8225,2.2775,0.26712973962006714,39.632545166012584,1
37,2.8475000000000006,2.3175,0.26712973962006714,41.527641591378845,1
38,2.8925,2.2975000000000003,0.21797063574493336,41.01936486239091,1
39,2.7375000000000007,2.0125,0.21797063574493336,40.26888950568781,1
40,3.2225,2.0025,0.26712973962006714,38.76459180365651,1
41,2.857500000000001,2.1574999999999998,0.26712973962006714,41.09071143853881,1
42,2.8325,1.9475,0.26712973962006714,38.45681699631583,1
43,2.5824999999999996,2.0625,0.21797063574493336,37.2263435995878,1
44,2.9825,2.3425000000000002,0.21797063574493336,40.42126525121565,1
45,2.817500000000001,2.2325,0.21797063574493336,41.07776307520038,1
46,2.8225,2.1275,0.21797063574493336,40.40500444542544,1
47,2.5524999999999998,2.1025,0.21797063574493336,41.28434487751628,1
48,2.6425,2.1475,0.21797063574493336,39.85560848812453,1
49,3.0525,2.3125,0.21797063574493336,39.91653721209023,1
50,3.0625,2.0625,0.21797063574493336,39.27136549020333,1
51,2.7424999999999997,2.1574999999999998,0.21797063574493336,40.04369526003499,1
52,2.7925,2.3025,0.1324381627052773,39.19359100848972,1
53,3.0325,2.2375,0.1324381627052773,41.35858770123594,1
54,3.0275,1.9875,0.1324381627052773,38.96077376691114,1
