,Opportunity_cost
0,41.44642204908687
1,41.44642204908687
2,41.44642204908687
3,41.44642204908687
4,41.44642204908687
5,41.44642204908687
6,41.44642204908687
7,41.44642204908687
8,41.44642204908687
9,41.44642204908687
10,41.45390354251481
11,41.454498589916
12,41.45479010423583
13,41.45479010423583
14,41.45479010423583
15,41.45479010423583
16,41.45479010423583
17,41.45479010423583
18,41.45479010423583
19,41.45479010423583
20,41.45479010423583
21,41.45479010423583
22,41.45479010423583
23,41.45479226672838
24,41.45479226672838
25,41.45479226672838
26,41.45479226672838
27,41.45479226672838
28,41.45479226672838
29,41.45479226672838
30,41.45479226672838
31,41.45479226672838
32,41.45479226672838
33,41.45479226672838
34,41.455174808779404
35,41.455174808779404
36,41.455174808779404
37,41.455482602781814
38,41.45559355449632
39,41.45566735908275
40,41.45638518865736
41,41.45638518865736
42,41.45638518865736
43,41.45638518865736
44,41.45651550749216
