,OC sampled,OC GP mean,Y,C,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-30.548127653343084,-0.013771864827353153,1,0.0,0.0,0.0
1,0.0,0.0,0.008116074203552204,-0.20200285054323056,1,0.0,0.0,0.0
2,0.0,0.0,0.41703859912200036,0.9704635951631859,0,0.0,0.0,0.0
3,0.0,0.0,-11.685768940818358,-1.0064612042371222,1,0.0,0.0,0.0
4,0.0,0.0,-1.249897212953097,0.2505762665671394,0,0.0,0.0,0.0
5,0.0,0.0,-19.378142810459995,-0.5635287904666197,1,0.0,0.0,0.0
6,0.0,0.0,3.2504021910995484,1.117195125152385,0,0.0,0.0,0.0
7,0.0,0.0,-7.089340710078541,0.9089333089397249,0,0.0,0.0,0.0
8,0.0,0.0,-13.563282402149854,-0.5317862190801663,1,0.0,0.0,0.0
9,0.0,0.0,-1.8506343031035661,-0.1214637585214488,1,0.0,0.0,0.0
10,-1.2591321343526207,-5.445635460226756,-5.386147913204598,-0.4983338793745863,1,0.0,-5.445635460226756,6.174274328866322
11,-1.2591321343526207,-17.53489719140322,-18.427560283098117,-1.1105403077123464,1,0.0,-17.53489719140322,6.174274328866346
12,-1.2591321343526207,0.35223747417916496,-9.802951961890555,0.4007964619498086,0,0.0,0.35223747417916496,6.174274328866346
13,0.0,0.6015284170853068,1.2372880169994065,-0.03773367271832196,1,0.0,0.6015284170853068,6.174274328866346
14,0.520152254255076,-10.47562769896405,-14.586510058347109,-0.4882251348128073,1,0.0,-10.47562769896405,6.174274328866346
15,0.520152254255076,0.5540896441447343,2.1389443677051836,0.6474275995337893,0,0.0,0.5540896441447343,6.174274328866347
16,0.520152254255076,0.3314334597217181,-4.985781413496033,-0.8506597442056276,1,0.0,0.3314334597217181,6.174274328866347
17,0.520152254255076,0.1636962793276835,-18.52245055671185,0.8913578716973172,0,0.0,0.1636962793276835,6.174274328866347
18,0.520152254255076,0.1311474332636653,-23.173387870790755,-1.1224926315822457,1,0.0,0.1311474332636653,6.174274328866347
19,0.520152254255076,-0.11954974963747578,-13.27556013720181,0.7857026054340511,0,0.0,-0.11954974963747578,6.174274328866347
20,0.520152254255076,-0.24057730003962696,0.38643135177285703,0.15536998302658417,0,0.0,-0.24057730003962696,6.174274328866348
21,-0.25180087199351053,-0.29944136489989237,-0.8155001788143722,0.8930142031083177,0,0.0,-0.29944136489989237,6.174274328866348
22,-0.25180087199351053,-0.2935623090180801,-19.893329250141736,-0.2554138585981401,1,0.0,-0.2935623090180801,6.174274328866348
23,-0.25180087199351053,-0.8563744393412485,-7.947838905656216,0.8802366015554146,0,0.0,-0.8563744393412485,6.174274328866348
24,-0.25180087199351053,-0.0,-1.127528556416686,0.41439900675880587,0,0.0,-0.0,6.174274328866348
25,-0.25180087199351053,-0.3213287586831859,-9.766994348561889,-1.0729597894335263,1,0.0,-0.3213287586831859,6.174274328866348
26,-0.25180087199351053,-0.33753621951651347,-2.7561431343229086,-0.37577401318975057,1,0.0,-0.33753621951651347,6.174274328866348
27,-0.25180087199351053,-0.37569000857901536,-5.3960623748062755,-0.0786520751658944,1,0.0,-0.37569000857901536,6.174274328866348
28,-0.25180087199351053,-0.4327635053010894,-1.9836595102325956,-0.8003179200847451,1,0.0,-0.4327635053010894,6.174274328866348
29,0.520152254255076,0.14898838864098884,0.22300790602394083,-0.9357897315844999,1,0.0,0.14898838864098884,6.174274328866348
30,0.520152254255076,0.4775034893656649,4.720349911488009,-0.1204320232001001,1,0.0,0.4775034893656649,6.174274328866348
31,0.0,0.0,4.12038985917724,0.44984412462720647,0,0.0,0.0,6.174274328866348
32,0.0,3.7927199129261018,3.0764796112512016,-0.4592447863478206,1,0.0,3.7927199129261018,6.174274328866348
33,4.772452140650666,4.740722797219911,5.124743171636614,-0.5676906136194887,1,0.0,4.740722797219911,6.174274328866348
34,5.081430708439074,5.30086972798825,2.852160368568006,-0.7868477089654686,1,0.0,5.30086972798825,6.174274328866348
35,5.081430708439074,5.363005751685095,3.4366651285824688,-0.6408588942042399,1,0.0,5.363005751685095,6.174274328866348
