,OC sampled,OC GP mean,Y,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-16.214896615412734,0,0.0,0.0,0.0
1,0.0,0.0,-33.94425373983955,0,0.0,0.0,0.0
2,0.0,0.0,-19.099305341431087,0,0.0,0.0,0.0
3,0.0,0.0,-9.089615719742406,1,0.0,0.0,0.0
4,0.0,0.0,-3.979562790606903,1,0.0,0.0,0.0
5,0.0,0.0,-3.071133042825684,0,0.0,0.0,0.0
6,0.0,0.0,-17.34370641371069,1,0.0,0.0,0.0
7,0.0,0.0,-6.4192301292445215,0,0.0,0.0,0.0
8,0.0,0.0,-8.525283439364093,1,0.0,0.0,0.0
9,0.0,0.0,-23.384689435189724,1,0.0,0.0,0.0
10,1.1742743288663418,17.307063009474682,-21.250463541931175,1,-0.0,-16.13278868060834,1.1742743288663418
11,1.1742743288663418,1.1742743288663418,0.09257570295146686,0,-0.0,-0.0,1.1742743288663418
12,1.1742743288663418,1.1742743288663418,-10.908439178769404,0,-0.0,-0.0,1.1742743288663418
13,1.1742743288663418,1.1742743288663418,-11.561501423490752,1,-0.0,0.0,1.1742743288663418
14,1.1742743288663444,1.1742743288663444,1.1288828135416946,0,-0.0,-0.0,1.1742743288663444
15,0.1459032037018977,0.14590053968828087,-10.999569434171724,0,1.0283711251644467,1.0283737891780635,1.1742743288663444
16,0.13770833347572875,0.13770850234890997,-11.00058695358803,0,1.0365659953906157,1.0365658265174345,1.1742743288663444
