,Y,C,C_bool,OC
0,-3.8076385625456286,8.647777966856639,0,0.0
1,-4.579995186416487,10.714706690262163,0,0.0
2,-3.7257794564954976,9.864984772218738,0,0.0
3,-2.296120124477605,8.336069636567965,0,0.0
4,-1.5725799734356969,7.127321356853286,0,0.0
5,-2.225539122333715,9.645530108045886,0,0.0
6,-1.4636695520260623,6.837349261864562,0,0.0
7,-2.40992201480306,6.966943371941666,0,0.0
8,-2.5005147195145714,7.634516063009663,0,0.0
9,-2.18711422840528,8.00880419785072,0,0.0
10,-2.7330291522527888,13.442693504541992,0,0.0
11,-2.428477046365773,7.210268012248278,0,0.0
12,-1.82293198871964,7.098926350911649,0,0.0
13,-1.872399985262212,6.23391927658128,0,0.0
14,-2.5147185284334084,7.163738361083246,0,0.0
15,-2.194527978706961,6.426514997405977,0,0.0
16,-1.5893591467922858,7.436357717890104,0,0.0
17,-2.079717665617516,6.627462009423122,0,0.0
18,-1.1229883381033896,5.76817218603642,0,0.0
19,-2.514821753243714,7.043262155424425,0,0.0
20,-3.9396392799572415,10.955029847531383,0,0.0
21,-1.9048133824273208,7.355556718796801,0,0.0
22,-1.6873746074715228,6.5774254126279414,0,0.0
23,-3.2079920639967328,7.750571187552363,0,0.0
24,-4.175039537763406,10.331798087453302,0,0.0
25,-2.3953384485040696,6.610900036524288,0,0.0
26,-2.5331175835614803,6.949210138400649,0,0.0
27,-1.836887488943686,7.207331302993741,0,0.0
28,-1.4086575669802135,5.832728312876335,0,0.0
29,-2.3550223114715445,8.776115678934634,0,0.0
30,-1.7911070513398988,6.556476229245028,0,0.0
31,-1.9115517660108483,6.3995079978599225,0,0.0
32,-3.6835345939010593,10.800488471831287,0,0.0
33,-1.574944628080129,10.598683887930354,0,0.0
34,-4.405981077856524,10.448996437324109,0,0.0
35,-1.8436882074633452,6.350925602548175,0,0.0
36,-1.3981215918779564,7.2726133396737,0,0.0
37,-2.568457315551695,7.175402287583159,0,0.0
38,-2.0784330826723423,6.354537649780741,0,0.0
39,-2.001540254110441,7.033039731421834,0,0.0
40,-2.0886846251704263,7.363765426317715,0,0.0
41,-2.138022892655364,8.075558330447437,0,0.0
42,-3.928810412324745,9.234018303448712,0,0.0
43,-3.0148720881547217,7.97827659396012,0,0.0
44,-3.729389074483103,12.375487988261664,0,0.0
45,-3.2745990918770373,9.615508659479817,0,0.0
46,-1.8617220196598119,7.164472736318718,0,0.0
47,-2.338850897882437,8.61639063839469,0,0.0
48,1.5912435297473695,3.568969966352196,0,0.0
49,-2.276174803027431,7.214763759012357,0,0.0
50,-1.0027024698460605,6.337613600484112,0,0.0
51,-1.5011599336295591,7.1358417584865785,0,0.0
52,-3.542900009604278,8.693533099475372,0,0.0
53,-2.1404889877424416,6.344595514236487,0,0.0
54,0.1909938638148868,4.744956551439202,0,0.0
55,-2.561591030800672,7.092333104130233,0,0.0
56,-3.668421092752728,10.262189538657456,0,0.0
57,-3.5629316677650458,9.005977337533214,0,0.0
58,-0.5821711350242231,5.795665278949232,0,0.0
59,-1.0705345427893658,5.938677230638183,0,0.0
60,-2.1357218399101097,6.359991097773957,0,0.0
61,-0.6179478082778739,5.48966936769116,0,0.0
62,-2.368513258706189,7.150918530218191,0,0.0
63,-0.9713116517086644,7.109504855264188,0,0.0
64,-0.8894099735833574,6.120731107557168,0,0.0
65,-2.4002167369504694,7.193325667017847,0,0.0
66,-0.6081597988115793,5.314874298518974,0,0.0
67,-0.7662210082118299,6.498448741752171,0,0.0
68,-2.1664074051998266,7.037356374809809,0,0.0
69,-1.8171148044686332,14.349450210086054,0,0.0
70,-0.8334279042819875,5.502171984618579,0,0.0
71,-1.2925341473823386,7.723259622855883,0,0.0
72,-0.19739871080212168,4.5539930244960924,0,0.0
73,-2.1342113964939653,6.339877480027397,0,0.0
74,-2.182605055801904,6.5079272022173065,0,0.0
75,0.8514544746692175,5.413880216274282,0,0.0
76,-4.466323080181361,12.63846012336436,0,0.0
77,0.6346253028961292,3.8539549918500633,0,0.0
