,Opportunity_cost
0,60.65703887296144
1,46.36294002691787
2,46.36294002691787
3,37.997056418844124
4,37.997056418844124
5,37.99705641884418
6,6.312444072027006
7,6.312444072027006
8,6.312444072027006
9,6.312444072027006
10,6.312444072027006
11,6.312444072027006
12,0.3366185638345769
13,0.3366185638345769
14,0.3366185638345769
15,0.3366185638345769
16,0.3366185638345769
17,0.3366185638345769
18,0.3366185638345769
19,0.3366185638345769
20,0.3366185638345769
21,0.3366185638345769
22,0.3366185638345769
23,0.3366185638345769
24,0.3366185638345769
25,0.3366185638345769
26,0.3366185638345769
27,0.3366185638345769
28,0.3366185638345769
29,0.3366185638345769
30,0.3366185638345769
31,0.3366185638345769
32,0.3366185638345769
33,0.3366185638345769
34,0.3366185638345769
