,OC sampled,OC GP mean,Y,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-16.499910315030686,1,0.0,0.0,0.0
1,0.0,0.0,-1.4431074731775861,0,0.0,0.0,0.0
2,0.0,0.0,3.785265218525548,1,0.0,0.0,0.0
3,0.0,0.0,-0.9761200700114503,0,0.0,0.0,0.0
4,0.0,0.0,1.9526634472064415,0,0.0,0.0,0.0
5,0.0,0.0,-5.453463104705222,1,0.0,0.0,0.0
6,0.0,0.0,-2.140093237603811,1,0.0,0.0,0.0
7,0.0,0.0,-15.322860940190152,0,0.0,0.0,0.0
8,0.0,0.0,-8.03373688957195,1,0.0,0.0,0.0
9,0.0,0.0,-10.405959617019557,1,0.0,0.0,0.0
10,3.784962890784594,3.784962890784594,5.996025861419202,1,0.0,3.784962890784594,6.174266841288131
11,5.995466297927272,5.995466297927272,4.401770061892492,1,0.0,5.995466297927272,6.17427432886634
12,5.995466297927272,5.995466297927272,-22.542372182965707,1,0.0,5.995466297927272,6.17427432886634
13,5.995466297927272,5.995466297927272,-2.367954529088016,1,0.0,5.995466297927272,6.174274328866346
