,Opportunity_cost
0,210.36491920611283
1,260.83525141279347
2,264.13690799519935
3,281.5741890797379
4,267.88218738605775
5,272.850260907029
6,282.13791911440245
7,274.206678485745
8,342.7847667336384
9,272.91145930285217
10,307.90425867607956
11,388.22183354901733
12,380.4676026867094
13,273.7537131808418
14,275.52651042746487
15,260.3694660484903
16,262.10058613920927
17,269.979429540876
18,262.3377144780681
19,263.4721770853135
20,267.8671441257255
21,268.51897395285016
22,269.03740866860824
23,268.91148992200294
24,268.6415999266258
25,267.976537485379
26,267.9528866498341
27,268.00779678825467
28,267.81434733652225
29,267.81361083482244
30,268.0226207177192
31,267.9530574298308
32,267.91629098292094
33,267.86495284424336
34,267.9544746140222
35,267.90813695022126
36,267.90142026028417
37,267.76611033887195
38,268.1097601956456
39,268.0944510289292
40,268.09425829316046
41,268.0379894118217
42,268.4704859993462
43,268.4994705219005
44,268.43798830487196
