,Opportunity_cost
0,113.63672121792919
1,254.8673665139816
2,242.64022304353898
3,252.19932746776345
4,259.5948679338024
5,261.5930947789865
6,271.2845186768668
7,271.9459258049759
8,374.5410625976477
9,268.6254843208287
10,268.7344748828524
11,266.9642922332046
12,267.9554434503173
13,267.8369738832674
14,266.8079458226331
15,266.47062175658755
16,449.99999930865437
17,266.5409102637805
18,266.39467371743035
19,267.22095262090835
20,267.34222064911023
21,267.2504181550522
22,267.2962957799248
23,267.1672148551035
24,267.1693006452824
25,267.26226813630905
26,267.21815931417547
27,267.09952977678006
28,267.4718729093576
29,267.32417075964173
30,267.5434965766383
31,267.383236203087
32,267.32631731254304
33,267.3823153798623
34,267.36182562744665
35,267.5290328066576
36,267.3638686924402
37,267.3813696085497
38,267.3822197178556
39,267.34420182119567
40,267.5179572706304
41,267.4102968335017
42,267.41561663333795
43,267.39716786679213
44,267.37210320903864
