,Opportunity_cost
0,218.24398945985757
1,275.8439613101778
2,222.7299130442799
3,253.49852064673067
4,271.17039940122714
5,261.564817424497
6,262.2894694443063
7,260.1171648391636
8,265.35701414117847
9,264.49896174676735
10,264.6969586638496
11,269.29690034310414
12,269.81494444081085
13,270.51104599910633
14,270.18946975318283
15,265.608774862928
16,253.09167116194908
17,267.7901229588347
18,267.19630522053916
19,267.48658596919165
20,267.29956581055126
21,267.75673036726056
22,267.6390735959914
23,267.81961978162565
24,268.0403359266282
25,267.91919605095103
26,267.9597896106055
27,268.0980275250739
28,268.41267656857156
29,268.4315036148919
30,250.31252261594452
31,268.43171192362973
32,268.4905472493695
33,268.42675948857453
34,268.4675610261474
35,268.4149062925783
36,268.31563083298556
37,268.35981202012874
38,268.38775256523803
39,268.38280650233804
40,268.2916673071083
41,268.46938646437695
42,268.30752589909804
43,268.3779939656114
44,268.356428649028
