,OC sampled,OC GP mean,Y,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-2.7739707608299886,0,0.0,0.0,0.0
1,0.0,0.0,-8.669610864649188,1,0.0,0.0,0.0
2,0.0,0.0,-6.447577629486056,1,0.0,0.0,0.0
3,0.0,0.0,-3.765087539227053,0,0.0,0.0,0.0
4,0.0,0.0,-20.861940013247427,1,0.0,0.0,0.0
5,0.0,0.0,-11.44082097365407,1,0.0,0.0,0.0
6,0.0,0.0,-15.436852862868536,0,0.0,0.0,0.0
7,0.0,0.0,-2.3350822135022735,0,0.0,0.0,0.0
8,0.0,0.0,-4.246822882670762,1,0.0,0.0,0.0
9,0.0,0.0,-3.7285353961987986,0,0.0,0.0,0.0
10,-0.0,-0.0,3.1870365661295303,0,0.0,-0.0,6.174274328188843
11,-0.0,-1.8417632174734768,0.3992587279040841,1,0.0,-1.8417632174734768,6.174274328866346
12,0.3998813312050675,-0.0,-3.9243194618229857,1,0.0,-0.0,6.174274328866346
13,0.3998813312050675,-0.0,0.7358675024129011,0,0.0,-0.0,6.174274328866346
14,0.3998813312050675,-0.0,-26.254204512711922,0,0.0,-0.0,6.174274328866346
15,0.3998813312050675,0.3998813312050675,-20.746508337148132,1,0.0,0.3998813312050675,6.174274328866346
16,0.3998813312050675,5.205789572174291,3.4733639722501066,1,0.0,5.205789572174291,6.174274328866346
17,3.4735946838737792,3.4735946838737792,1.8651651324685712,1,0.0,3.4735946838737792,6.174274328866346
18,3.4735946838737792,2.676419544547487,-15.600100763770072,1,0.0,2.676419544547487,6.174274328866346
19,3.4735946838737792,2.676419544547487,4.862151175043819,1,0.0,2.676419544547487,6.174274328866346
20,4.863144860698747,4.863144860698747,5.618942919381878,1,0.0,4.863144860698747,6.174274328866346
21,5.620827830774019,5.620827830774019,2.9241621837025185,1,0.0,5.620827830774019,6.174274328866346
22,5.620827830774019,5.620827830774019,-11.121957125538817,1,0.0,5.620827830774019,6.174274328866346
23,5.620827830774019,5.620827830774019,-28.340446125649308,0,0.0,5.620827830774019,6.174274328866346
