,Opportunity_cost,Y,C_bool
0,0.0,8666.678974582306,0
1,0.0,333.33333333333394,0
2,0.0,-1000.0,0
3,0.0,-2333.333333333333,0
4,0.0,-2.0242146719065204,0
5,0.0,-169.25825371779956,0
6,0.0,-333.33333333333326,0
7,0.0,-4500.000000000002,0
8,0.0,-3666.666666666667,0
9,0.0,-4333.333333333332,0
10,0.0,7001.0759629418935,0
11,0.0,-1000.8459408526605,0
12,0.0,6332.938368631518,0
13,0.0,-3166.6666666666656,0
14,0.0,-4999.999999999999,0
15,0.0,5455.195100992616,1
16,0.0,-4667.200736332389,0
17,0.0,-1666.666666666667,0
18,5453.088598114795,9726.721587719203,1
19,9726.721745100424,11439.58300738519,1
20,11439.701267967377,12401.144648949166,1
21,12399.76928508123,13270.35191288233,1
22,13270.202283872273,13367.927950367457,1
23,13367.996130440375,13508.971601928628,1
24,13509.083607700371,13672.276504605605,1
25,13671.987981501388,13669.118055614412,1
26,13667.716218401814,13654.020721819756,1
27,13667.697388995808,13713.296529730103,1
28,13712.66641322035,13756.66962269264,1
29,13756.544238014678,13778.587777258235,1
30,13778.530924112341,13807.469375756426,1
31,13807.905869339329,13847.173199535384,1
32,13846.727466644385,13966.889440149507,1
33,13967.9412642116,14432.613680982471,1
34,14435.174854126662,14528.057410921363,1
35,14525.396612596398,14565.235572572581,1
36,14561.456316010732,14568.495964714873,1
37,14569.899974083346,14565.850169462308,1
38,14569.97449141451,14575.09161605864,1
39,14569.99076414797,14595.068210406893,1
40,14592.121711793348,14595.690772552984,1
41,14598.95711732308,14596.302090277455,1
42,14598.95980448758,14597.302202280569,1
43,14598.546925501318,14599.63711482225,1
44,14598.388826797223,14600.073322191141,1
45,14598.202487781244,14590.757457480082,1
46,14598.475027706922,14586.893227522833,1
47,14598.451159378326,14602.535952273322,1
48,14603.199804028296,14597.791087971938,1
49,14603.317450050065,14600.56764261927,1
50,14603.25501481831,14605.510908258722,1
51,14603.304601491809,14601.55075399662,1
52,14603.261343174485,14601.029668749816,1
53,14603.34861813426,14607.841396412408,1
54,14603.317299343198,14609.815152210598,1
55,14604.347464886127,14606.969167654646,1
56,14604.189806580907,14606.142974662886,1
57,14604.256024831571,14605.429059403847,1
58,14604.217450934613,14604.115360790776,1
59,14604.270077927471,14608.995718246293,1
60,14604.232944468135,14602.983064385651,1
61,14604.415504099394,14607.799403506135,1
62,14604.334914991477,14616.511428206471,1
63,14604.522073114698,14602.262458190075,1
64,14604.404354563421,14603.026149746438,1
65,14604.904122774225,14594.143597112343,1
66,14604.516787298793,14606.505993544411,1
67,14604.991924518574,14595.043625032551,1
68,14604.352349930436,14597.009427819514,1
69,14604.50620212076,14603.042875863597,1
70,14604.48408758291,14598.95459472694,1
71,14604.182758750474,14583.085596553661,1
72,14604.97205574795,14612.207555376708,1
73,14605.338240248662,14604.193748550362,1
74,14605.46066140433,14604.655743167297,1
75,14605.482412891555,14605.040372061465,1
76,14605.418223303688,14596.391783139861,1
77,14605.466264279159,14612.507851813296,1
