,Opportunity_cost,Y,C_bool
0,0.0,7833.760372627996,0
1,0.0,9500.0,0
2,0.0,-333.33333333333326,0
3,0.0,998.9384168640372,0
4,0.0,-1666.666666666667,0
5,0.0,-1334.1559537688963,0
6,0.0,6333.333333333333,0
7,0.0,659.7385768206077,0
8,0.0,2003.263766399854,0
9,0.0,5333.657638966217,0
10,0.0,2339.792189949445,0
11,0.0,-6666.812608531368,0
12,0.0,-5666.666666666666,0
13,0.0,166.66666666666697,0
14,0.0,10337.878773435665,0
15,0.0,-1000.0,0
16,0.0,-997.1709185357768,0
17,0.0,-1833.3333333333358,0
18,0.0,12019.888790596397,1
19,12019.9735502242,12982.857100780395,0
20,12019.974825807705,12978.692298614405,1
21,12978.871340665855,12978.515187403827,1
22,12978.8466634801,12979.950245213135,1
23,12978.863299791106,12978.986033666013,1
24,12978.85148044596,12980.301308762228,1
25,12978.869179617712,12979.046949539503,1
26,12978.854621700244,12979.614191548037,1
27,12978.832056825071,13105.892540310962,1
28,13104.592736284081,12771.556400886326,1
29,13104.649350142716,13283.872446320242,1
30,13283.784437406077,13297.574293719154,1
31,13295.670302899469,14027.155582907111,1
32,14029.903066133105,13997.22735322838,1
33,13995.518832784315,13995.560784597186,1
34,14029.947726985452,13993.786251296986,1
35,13995.597463059836,13999.842301528211,1
36,13995.633904149747,13996.573917175378,1
37,14030.116143485755,14016.731125229748,1
38,14021.390163937509,14027.20770233524,1
39,14021.034821589381,14010.891894181681,1
40,14020.964309856736,14021.37353986234,1
41,14021.058473040726,14016.813309190828,1
42,14020.941442988724,13995.414610208105,1
43,14020.877609706009,14018.375018114004,1
44,14020.987691874216,14020.641783983334,1
45,14020.96568788805,14020.882678071037,1
46,14020.955160770798,14021.49670122443,1
47,14020.952356363285,14024.445871756945,1
48,14021.131116425746,14020.063672252218,1
49,14020.952720047086,14019.47408947577,1
50,14020.867414964947,14014.256286515374,1
51,14020.989435944075,14022.317107964276,1
52,14021.024103824375,14019.910849882079,1
53,14020.809589016995,14018.045309426634,1
54,14020.862152102673,14018.88558267894,1
55,14020.86277401466,13991.887889199712,1
56,14020.982398375214,14023.979377372048,1
57,14020.882988632351,14013.85935043226,1
58,14020.946054133397,13999.13757434743,1
59,14020.97954607485,14017.906162287709,1
60,14021.059212062322,14019.037520770547,1
61,14020.809477128603,14023.028730164537,1
62,14020.82489039445,14012.588806953565,1
63,14021.015678677231,14024.262265771333,1
64,14020.850564566495,14016.335994185269,1
65,14020.923691745702,14023.196537456006,1
66,14020.915884073627,14026.028107466036,1
67,14020.879371415465,14023.710386556435,1
68,14020.92975241288,14019.7016065906,1
69,14020.849321681493,14019.174797145162,1
70,14020.912858026513,14018.273521903191,1
71,14020.882163339233,14018.840070866456,1
72,14020.99619027802,14021.957752337079,1
73,14020.98444306916,14024.399630417014,1
74,14020.908242437434,14022.245373990063,1
75,14020.956072594157,14020.86501138784,1
76,14021.0885512281,14017.451253102423,1
77,14020.976263759649,13999.568092749752,1
