,Opportunity_cost,Y,C_bool
0,0.0,-4333.333333333332,0
1,0.0,2659.243004469874,0
2,0.0,5500.000000000003,0
3,0.0,2332.0763971079814,0
4,0.0,-1000.0,0
5,0.0,-7666.666666666666,0
6,0.0,11328.469898097224,1
7,0.0,-5334.720988679495,0
8,0.0,-2333.333333333333,0
9,0.0,-5666.666666666666,0
10,0.0,-333.33333333333326,0
11,0.0,4.547473508864641e-13,0
12,0.0,-2499.9999999999995,0
13,0.0,-1329.3697789143089,0
14,0.0,-4996.86591937557,0
15,0.0,-6333.333333333334,0
16,0.0,7000.0,0
17,0.0,3833.333333333335,0
18,11333.385142532406,11339.11969732002,1
19,11333.270089985512,11332.500860451924,1
20,11333.277768185095,11338.634980233812,1
21,11333.264873053455,11336.860948472124,1
22,11333.282963473015,11338.021926375277,1
23,11333.273645331687,11324.192117849161,1
24,11333.283033622929,11333.93699004333,1
25,11333.271710757574,11332.539496929323,1
26,11333.350405977235,11342.73898611296,1
27,11333.37486781696,11334.666362362601,1
28,11333.299424235633,11329.21723649769,1
29,11333.367902955457,11324.044486206796,1
30,11333.22910788052,11335.589561667133,1
31,11333.554482528227,11326.098144266252,1
32,11333.345557858498,11324.46993730278,1
33,11333.356987569556,11333.26925592298,1
34,11333.31285601669,11334.495504395894,1
35,11333.21740377701,11331.95451922257,1
36,11333.216763797245,11335.715574204522,1
37,11333.272983380548,11338.777068243486,1
38,11333.484947795916,11333.965901431115,1
39,11333.350769027149,11332.925507123906,1
40,11333.36674429991,11324.357362842395,1
41,11333.390568063649,11328.463029154027,1
42,11333.300108526337,11327.279707506903,1
43,11333.308533113379,11329.216191514752,1
44,11333.350791946224,11339.320665464282,1
45,11333.295683799397,11335.073306783368,1
46,11333.35157140059,11339.683666598328,1
47,11333.287927394942,11335.375325502853,1
48,11333.35421734505,11324.035020921245,1
49,11333.23635839765,11324.735054262332,1
50,11333.325268076265,11329.748400291475,1
51,11333.313598601908,11331.12569813534,1
52,11333.353483231265,11328.174676639479,1
53,11333.32331468584,11333.903145684715,1
54,11333.360668290426,11333.69480852281,1
55,11333.405455223385,11345.037347692694,1
56,11333.309553928933,11325.307961897273,1
57,11333.235287983713,11323.53238301066,1
58,11333.33217823647,11329.921499224554,1
59,11333.436277981455,11338.261603912455,1
60,11333.408827041405,11329.609205500234,1
61,11333.292390291028,11328.792036049294,1
62,11333.277213445866,11330.728682701167,1
63,11333.28282134653,11332.12324026526,1
64,11333.399997331053,11333.63632891739,1
65,11333.268216805145,11335.709055240412,1
66,11333.350051316289,11323.82990104808,1
67,11333.341050152678,11331.032593814321,1
68,11333.296732910747,11330.061334271784,1
69,11333.379590579763,11331.52998075774,1
70,11333.361085423807,11346.341759755138,1
71,11333.341828806995,11336.67291675209,1
72,11333.31233152762,11329.14273189691,1
73,11333.330667517048,11342.882821757627,1
74,11333.345233129097,11338.67073101471,1
75,11333.386745486636,11335.306101473408,1
76,11333.279297059587,11330.394450262716,1
77,11333.37029470135,11344.917836417266,1
