1.250000000000000000e+00,3.250000000000000888e+00
2.250000000000000000e+00,2.250000000000000000e+00
1.750000000000000222e+00,3.750000000000000000e+00
2.500000000000000000e-01,2.500000000000000000e-01
3.250000000000000888e+00,7.500000000000001110e-01
7.500000000000001110e-01,1.250000000000000000e+00
2.750000000000000000e+00,1.750000000000000222e+00
4.250000000000000000e+00,2.750000000000000000e+00
3.750000000000000000e+00,4.750000000000000000e+00
4.750000000000000000e+00,4.250000000000000000e+00
2.228749999999999787e+00,2.603750000000000231e+00
2.406250000000000000e+00,2.311250000000000249e+00
