,Opportunity_cost,Y,C_bool,recommended_val,optimum
0,0.0,73.12504143823946,0,0.0,0.0
1,0.0,1.1250457704443384,0,0.0,0.0
2,0.0,41.624296801530015,0,0.0,0.0
3,0.0,221.62433960929104,0,0.0,0.0
4,0.0,140.62444846592516,0,0.0,0.0
5,0.0,271.1240423654099,0,0.0,0.0
6,0.0,59.62435457588631,0,0.0,0.0
7,0.0,154.12365892778405,0,0.0,0.0
8,0.0,365.62374068102923,0,0.0,0.0
9,0.0,167.62560319813127,0,0.0,0.0
10,268.77083021448334,177.98702517483886,0,0.0,268.77083021448334
11,268.788504671247,178.6997408112025,0,0.0,268.788504671247
12,268.788504671247,241.93939485339334,0,0.0,268.788504671247
13,268.788504671247,224.999735988311,0,0.0,268.788504671247
14,268.788504671247,204.88661712878258,0,0.0,268.788504671247
15,268.788504671247,226.9021181126074,0,0.0,268.788504671247
16,84.25851928272198,160.3841716752157,1,184.529985388525,268.788504671247
17,101.0181756930152,189.2488961813091,1,167.7703289782318,268.788504671247
18,72.21038741035215,196.98518154493763,1,196.57811726089483,268.788504671247
19,71.80396034213601,276.36033960369303,0,196.98454432911097,268.788504671247
20,71.57082643197757,238.70962673507256,1,197.21767823926942,268.788504671247
21,30.079112888677003,254.0592379674038,1,238.70939178256998,268.788504671247
22,14.253059742779982,259.80288835456264,0,254.535444928467,268.788504671247
23,7.112752893467075,264.5860877537847,1,261.6757517777799,268.788504671247
24,1.1289508448561492,268.46306688676833,1,267.65955382639083,268.788504671247
25,0.020790900720555783,268.77448336115447,1,268.7677137705264,268.788504671247
26,0.015538228299817547,268.8273885916712,0,268.77296644294717,268.788504671247
27,0.015538228299817547,268.78502778593844,1,268.77296644294717,268.788504671247
28,0.013238250217227687,268.7849958963082,1,268.77526642102976,268.788504671247
29,0.00343378141269568,268.78693145633906,1,268.7850708898343,268.788504671247
30,0.003195902152413055,268.78629092570895,1,268.78530876909457,268.788504671247
31,0.00343378141269568,268.786835109333,1,268.7850708898343,268.788504671247
32,0.00343378141269568,268.78836718306087,1,268.7850708898343,268.788504671247
33,0.00343378141269568,268.78618533599786,0,268.7850708898343,268.788504671247
34,0.0016178286733747882,268.7887193141829,0,268.7868868425736,268.788504671247
35,0.00343378141269568,268.7877356653111,0,268.7850708898343,268.788504671247
36,0.00343378141269568,268.7865708865463,0,268.7850708898343,268.788504671247
37,0.00343378141269568,268.78805000938826,0,268.7850708898343,268.788504671247
38,0.00343378141269568,268.7867942870516,0,268.7850708898343,268.788504671247
39,0.0014320127247060555,268.78650619406125,0,268.7870726585223,268.788504671247
40,0.0023697937587030538,268.7890387744464,0,268.7861348774883,268.788504671247
41,0.0023697937587030538,268.78775650765726,0,268.7861348774883,268.788504671247
42,0.0023697937587030538,268.78678081694363,0,268.7861348774883,268.788504671247
