,Y,C_bool,C,OC
0,-1.534224298513579,6.372934766793126,0,0.0
1,-2.1881030775154513,6.550380942183026,0,0.0
2,-2.4691197918969396,9.601727165801977,0,0.0
3,-2.0613364860336203,6.736138040694514,0,0.0
4,-2.6147206719358618,7.174396187645305,0,0.0
5,-2.0264013575124737,7.037354437379366,0,0.0
6,-2.480008608199116,8.814503645268058,0,0.0
7,-1.982973679693387,11.087852156347576,0,0.0
8,-2.901716567115144,11.641606617537086,0,0.0
9,-2.263597183797553,7.2102666385860745,0,0.0
10,-4.041026710855425,11.31171105823811,0,0.0
11,-2.385135132263884,7.56685039242702,0,0.0
12,-2.1445375479384183,6.339877481890041,0,0.0
13,-2.8848304219547822,8.857029499121632,0,0.0
14,-1.7260990383523835,7.066936716270579,0,0.0
15,-0.37371356950410883,6.0945755218506035,0,0.0
16,-2.1358233364654726,6.359991287763762,0,0.0
17,-2.1510942066242036,9.191613909371704,0,0.0
18,-2.452564154868897,8.153416140159012,0,0.0
19,-2.3919109780080645,7.150914326520471,0,0.0
20,-1.6999667536135634,7.066936716270579,0,0.0
