,Opportunity_cost,Y,C_bool
0,0.0,1333.3118907770677,0
1,0.0,-5332.097030640399,0
2,0.0,8335.279156407309,0
3,0.0,-6507.304283400159,0
4,0.0,2333.333333333334,0
5,0.0,-1000.0,0
6,0.0,-1332.9590554274855,0
7,0.0,-4333.333333333332,0
8,0.0,11003.540122790368,0
9,0.0,-39.80460805577968,0
10,0.0,-2333.333333333333,0
11,0.0,8997.785327858026,0
12,0.0,11998.591159838215,1
13,0.0,-332.85848837795675,0
14,0.0,331.26085296994006,0
15,0.0,-333.33333333333326,0
16,0.0,-3000.0,0
17,0.0,-1666.666666666667,0
18,11999.96741560267,12736.466662168028,1
19,12737.110519141,12440.81147608684,1
20,12736.998609445052,12508.502116819487,1
21,12737.042254997434,11461.288981665264,1
22,12736.888232368103,12596.107187107516,1
23,12736.894170681648,13351.083381131983,1
24,13349.473160738406,12669.254306539096,1
25,13349.329415203994,12565.810862173634,1
26,13349.479851499504,13322.23096375717,1
27,13349.369315234011,13812.577342748678,1
28,13813.31029965434,14274.148199828622,1
29,14267.035662574703,13976.612997559601,1
30,14267.050230198734,13931.227221789704,1
31,14266.976946473005,14031.924169518574,1
32,14266.95396256392,14396.207572374824,1
33,14390.471253251451,11560.384496793442,1
34,14390.476933315731,13362.646749632357,1
35,14390.36665626267,13489.13931281444,1
36,14390.454692168874,11964.669951811124,1
37,14390.493452652949,13706.931390580901,1
38,14390.389726523907,13372.113280546451,1
39,14390.527850076765,12146.375302059882,1
40,14390.486203148133,12094.730868410308,1
41,14390.408861796397,13941.08635530616,1
42,14390.46772058176,13546.019032720578,1
43,14390.488133025923,14324.13993706899,1
44,14390.42830192554,13355.202268006567,1
45,14390.389386081182,13722.077862221246,1
46,14390.523993345338,13825.61966646093,1
47,14390.42590232634,13288.73995179007,1
48,14390.401729563264,13744.931576743122,1
49,14390.507118976313,13192.147800438834,1
50,14390.554176551872,13552.776450466581,1
51,14390.439798366331,13932.437048052765,1
52,14390.546281280118,14561.70729544641,1
53,14550.464980299284,13340.623422018445,1
54,14550.52575458067,13895.460383182526,1
55,14550.448802636904,14057.482871749486,1
56,14550.64412680335,14101.710951280242,1
57,14550.537090381258,13054.770111766065,1
58,14550.475646039542,13772.041761829823,1
59,14550.602073266422,13279.600159010883,1
60,14550.60845472848,13801.167606958863,1
61,14550.583832872691,14102.09198494353,1
62,14550.436964663417,14357.558338510047,1
63,14550.58504071166,14475.213974092465,1
64,14550.546617846643,14317.790540125414,1
65,14550.473029922152,13735.735398122495,1
66,14550.500945766538,13821.912428458814,1
67,14550.527868996885,14004.612098320591,1
68,14550.599108770079,12921.132984043332,1
69,14550.538239050751,14445.832783800062,1
70,14550.545995591694,14021.087084842096,1
71,14550.521074886352,14270.55452873106,1
72,14550.482729616344,13544.8818166835,1
73,14550.64413578919,14011.243518081581,1
74,14550.421040902456,14576.102200673631,1
75,14550.513453258262,13384.535834736533,1
76,14550.562706179673,13286.248573194192,1
77,14550.474830412788,13781.58363174324,1
