,Opportunity_cost,Y,C_bool
0,0.0,-1000.0,0
1,0.0,5833.33333333334,0
2,0.0,7665.703587913993,0
3,0.0,7668.426865822468,0
4,0.0,-2333.333333333333,0
5,0.0,-4666.3075807263185,0
6,0.0,4.547473508864641e-13,0
7,0.0,-333.33333333333326,0
8,0.0,-1500.000000000001,0
9,0.0,2335.7535613363143,0
10,0.0,-1000.1288242081246,0
11,0.0,3003.3502421235735,0
12,0.0,5995.998318579008,0
13,0.0,501.0279885733962,0
14,0.0,4330.1330051879395,0
15,0.0,-5662.0548064602835,0
16,0.0,3670.0925041340997,0
17,0.0,-3999.941460868593,0
18,0.0,10226.945759475195,1
19,10225.363254916982,4902.8498315485585,1
20,10225.355650135765,5729.117230817498,0
21,10225.40818224819,10023.913783653945,1
22,10225.316306921834,9314.461060972502,1
23,10225.298775836598,6209.0165596169545,1
24,10225.32802288965,9145.804261144833,1
25,10225.31198897483,9818.21867587409,1
26,10225.35631206748,4615.460305143874,1
27,10225.36183749279,9367.791340890886,1
28,10225.338070710934,5312.049395973383,1
29,10225.319444133174,10842.274811578292,1
30,10841.681792299381,9798.90776914129,1
31,10841.622447353207,8246.475402579099,1
32,10841.636819452417,11190.580737516299,1
33,11186.520793696793,8595.146394322011,1
34,11186.780670735292,8480.895620211264,1
35,11186.739608916887,10222.501310192041,1
36,11186.587639060941,10312.054287199055,1
37,11186.668380478455,8745.318718236402,1
38,11186.604560972479,11132.186733573424,1
39,11186.63137223105,9537.89922471115,1
40,11186.538285241111,9982.083270741143,1
41,11186.659282738814,8007.66533459273,1
42,11186.667898333848,9692.772505611527,1
43,11186.580670391157,9257.907347237524,1
44,11186.657785761603,9276.890127298473,1
45,11186.531737755056,8309.786793003159,1
46,11186.57027638064,9917.659306017937,1
47,11186.630801820662,10758.622939230401,1
48,11186.57279382367,8306.4132305385,1
49,11186.729946988857,11166.58831901972,1
50,11186.590672119575,8121.637228170752,1
51,11186.479883797534,10592.532023179905,1
52,11186.496148186328,8374.34562330398,1
53,11186.514144476021,9113.71229747987,1
54,11186.635997676121,8270.244422320055,1
55,11186.65470123545,7248.145825691856,1
56,11186.49374299572,11445.848755956738,1
57,11443.669246195019,8922.266710691609,1
58,11443.737983933399,9353.242036187283,1
59,11443.555832409724,8839.920351483437,1
60,11443.636159483072,11110.84142197386,1
61,11443.561116705787,11161.75950764395,1
62,11443.619404802108,11939.64092946901,1
63,11938.008714735186,10359.956254026307,1
64,11937.927191645802,9658.016883842229,1
65,11937.850972576685,8994.71604374631,1
66,11938.01332920795,11172.93449503072,1
67,11937.985576791549,9016.049057149165,1
68,11938.070525657531,11705.99273529752,1
69,11938.021383977068,8461.066947213429,1
70,11938.040603855976,8688.965945452623,1
71,11937.908114845997,9828.506606464985,1
72,11938.084431074934,11317.040196024534,1
73,11938.031308221403,10761.527260727209,1
74,11938.087858276434,11856.628171272638,1
75,11937.89461614643,11841.15550121245,1
76,11938.013804768523,10189.786870254302,1
77,11938.09767088733,11667.052791032305,1
