,Opportunity_cost,Y,C_bool,recommended_val,optimum
0,0.0,73.12504143823946,0,0.0,0.0
1,0.0,1.1250457704443384,0,0.0,0.0
2,0.0,41.624296801530015,0,0.0,0.0
3,0.0,221.62433960929104,0,0.0,0.0
4,0.0,140.62444846592516,0,0.0,0.0
5,0.0,271.1240423654099,0,0.0,0.0
6,0.0,59.62435457588631,0,0.0,0.0
7,0.0,154.12365892778405,0,0.0,0.0
8,0.0,365.62374068102923,0,0.0,0.0
9,0.0,167.62560319813127,0,0.0,0.0
10,268.77083021448334,238.8972725679372,0,0.0,268.77083021448334
11,268.7883961548055,216.94523801980114,0,0.0,268.7883961548055
12,268.7883961548055,179.08900131762098,1,0.0,268.7883961548055
13,89.69953606728913,194.0050859791843,0,179.0888600875164,268.7883961548055
14,89.69953606728913,192.44152023288268,1,179.0888600875164,268.7883961548055
15,56.55337482457,210.77136242010673,0,212.23502133023553,268.7883961548055
16,55.39234602772464,222.4812087311566,0,213.39605012708088,268.7883961548055
17,59.168039351195205,254.3741147699597,0,209.62035680361032,268.7883961548055
18,26.27523990933412,297.4712386655276,0,242.5131562454714,268.7883961548055
19,38.810476083346146,200.2996153947786,0,229.97792007145938,268.7883961548055
20,42.386579404478965,251.82802899805034,0,226.40181675032656,268.7883961548055
