,Opportunity_cost
0,5.649690191827055
1,5.649782646507191
2,5.137475741920056
3,0.8879104661596315
4,0.029261965647492616
5,0.02926196564749972
6,0.0006754767464656197
7,0.0006754767464656197
8,0.0006754767464656197
9,0.0006754767464656197
10,0.0006754767464656197
11,0.0006754767464656197
12,0.0006754767464656197
13,0.0006754767464656197
14,0.0006754767464656197
15,0.0006754767464656197
16,0.0006754767464656197
17,0.0006754767464656197
18,0.0006754767464656197
19,0.0006754767464656197
20,0.0006754767464656197
21,0.0006754767464656197
22,0.0006754767464656197
23,0.0006754767464656197
24,0.0006754767464656197
25,0.0006754767464656197
26,0.0005095861965997983
27,0.0005095861965997983
28,0.0005095861965997983
29,0.0005095861965997983
30,0.0005095861965997983
31,0.0005095861965997983
32,0.0005095861965997983
33,0.0005095861965997983
34,0.0005095861965997983
35,0.0005095861965997983
36,0.0005095861965997983
37,0.0005095861965997983
38,0.0005095861965997983
39,0.0005095861965997983
40,0.0005095861965997983
41,0.0005095861965997983
42,0.0005095861965997983
43,0.0005095861965997983
44,0.0005095861965997983
