,Opportunity_cost
0,40.94001917917722
1,40.217939195542385
2,41.28083680538322
3,41.43703905587645
4,41.444997900808616
5,41.447413497078394
6,41.40981169047628
7,41.44987134857533
8,41.45131098871441
9,41.45153761919283
10,41.45392194516641
11,41.45092685633179
12,41.453327047385336
13,41.4525253529821
14,41.45255815398875
15,41.45491464374371
16,34.19633345583779
17,41.456063736489
18,41.456048643543554
19,41.45604711752057
20,41.45592518939308
21,41.45588972380997
22,41.45587129544492
23,41.45582889371002
24,41.455838398735736
25,41.45649991265604
26,41.456507955596294
27,41.45638031428327
28,41.45646492510498
29,41.4564453118075
30,41.456439811240905
31,41.456425010656936
32,41.4564606689221
33,41.456458338598225
34,41.456482456859774
35,41.45646460266422
36,41.42127108329028
37,41.45650191384403
38,41.45649404885534
39,41.45648495023917
40,41.45648367656056
41,41.45645042554529
42,41.45645708186638
43,41.456458882397364
44,41.45645399772407
