,Opportunity_cost
0,40.0751386645441
1,40.6770627583669
2,41.27758698899576
3,41.37163672062048
4,41.38886240323292
5,41.44556942941265
6,41.45202090706056
7,41.45140815193175
8,41.45237399136511
9,41.444921242625234
10,36.265483420762564
11,41.452071401160865
12,41.45619325204112
13,41.45528310629778
14,41.45383476831787
15,41.45637865962096
16,41.40102034162495
17,41.45635297105175
18,36.16247441641926
19,36.145369768805764
20,41.455581252792655
21,41.455355442553184
22,41.456068913136924
23,35.66252386200819
24,41.456452867567435
25,41.45646099073412
26,41.45646311699735
27,41.45645667441614
28,41.45641000010826
29,41.37122160023982
30,41.45635123335877
31,41.45638980396064
32,41.456398969795785
33,41.456402759965606
34,41.45640070515264
35,41.45645130019773
36,41.456345091300975
37,41.45642172537329
38,41.456387741673446
39,41.45644720835901
40,41.45639411910397
41,41.4564216684463
42,41.45640465209577
43,41.456363745194984
44,41.45640924743152
