,OC GP mean,sampling_decisions,recommended_val_GP,optimum
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,268.76824889115545
11,0.0,1.0,0.0,268.76824889115545
12,190.46694681928003,1.0,190.46694681928003,268.76824889115545
13,174.07114960458935,1.0,174.07114960458935,268.7879891020415
14,173.97892232515545,1.0,173.97892232515545,268.7879891020415
15,186.6296749060881,1.0,186.6296749060881,268.7879891020415
16,173.63073599200203,1.0,173.63073599200203,268.78844142753763
17,169.3417569824938,1.0,169.3417569824938,268.7885046712339
18,195.16505749201193,0.0,195.16505749201193,268.7885046712339
19,195.79519246409217,1.0,195.79519246409217,268.7885046712339
20,192.04254880099535,1.0,192.04254880099535,268.78850467124647
21,188.0533833115383,1.0,188.0533833115383,268.78850467124647
22,0.0,1.0,0.0,268.78850467124647
23,190.773697683965,0.0,190.773697683965,268.78850467124647
