,Opportunity_cost
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,200.01137584742753
8,256.0956571973025
9,256.0956571973025
10,256.0956571973025
11,256.0956571973025
12,265.12858572842
13,265.12858572842
14,265.12858572842
15,268.1152657208495
16,268.70655519488577
17,268.7693929158006
18,268.7842124977505
19,268.7842124977505
20,268.7842124977505
21,268.7842124977505
22,268.7842124977505
23,268.7842124977505
24,268.7842124977505
25,268.7842124977505
26,268.7842124977505
27,268.7842124977505
28,268.7842124977505
29,268.7842124977505
30,268.7842124977505
31,268.7842124977505
32,268.7842124977505
33,268.7842124977505
34,268.7842124977505
35,268.7842124977505
36,268.7842124977505
37,268.7842124977505
38,268.7842124977505
39,268.7842124977505
40,268.7842124977505
41,268.7842124977505
42,268.7842124977505
43,268.7842124977505
44,268.7842124977505
