,OC GP mean,sampling_decisions,recommended_val_GP,optimum
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,-1.1737268352895933,1.0,-1.1737268352895933,6.174274328866342
11,-2.175350359969646,1.0,-2.175350359969646,6.174274328866342
12,-1.482727449544739,0.0,-1.482727449544739,6.174274328866344
13,-0.38084979908629624,1.0,-0.38084979908629624,6.174274328866344
14,-0.38085426649258025,0.0,-0.38085426649258025,6.174274328866344
15,2.8946797392368557,0.0,2.8946797392368557,6.174274328866344
16,4.199720934892094,1.0,4.199720934892094,6.174274328866344
17,4.230359909606529,1.0,4.230359909606529,6.174274328866344
18,4.238994273234699,0.0,4.238994273234699,6.174274328866344
19,4.240321410081769,0.0,4.240321410081769,6.174274328866344
20,4.138026635864325,0.0,4.138026635864325,6.174274328866344
21,4.073089645120676,0.0,4.073089645120676,6.174274328866344
22,6.0528448030042785,1.0,6.0528448030042785,6.174274328866344
23,6.120374295766403,0.0,6.120374295766403,6.174274328866344
24,6.1655646944953615,0.0,6.1655646944953615,6.174274328866344
25,6.165830887652831,0.0,6.165830887652831,6.174274328866344
26,6.166020030797104,0.0,6.166020030797104,6.174274328866344
27,6.166319194135185,0.0,6.166319194135185,6.174274328866344
28,6.166113477156082,0.0,6.166113477156082,6.174274328866344
29,6.167548062329211,0.0,6.167548062329211,6.174274328866344
30,6.1675804987366645,0.0,6.1675804987366645,6.174274328866344
31,6.167445491847726,0.0,6.167445491847726,6.174274328866345
32,6.1673558314285355,0.0,6.1673558314285355,6.174274328866345
33,6.16747045501026,0.0,6.16747045501026,6.174274328866345
34,6.167323578085547,0.0,6.167323578085547,6.174274328866345
35,6.167230633498597,0.0,6.167230633498597,6.174274328866345
36,6.167312032078478,0.0,6.167312032078478,6.174274328866345
37,6.167326708102283,0.0,6.167326708102283,6.174274328866345
38,6.167320979466176,0.0,6.167320979466176,6.174274328866345
39,6.167380112360833,0.0,6.167380112360833,6.174274328866345
40,6.167339824769427,0.0,6.167339824769427,6.174274328866345
41,6.16735026774151,0.0,6.16735026774151,6.174274328866345
42,6.167378752930935,0.0,6.167378752930935,6.174274328866345
43,6.167374122838566,0.0,6.167374122838566,6.174274328866345
44,6.16747957438337,0.0,6.16747957438337,6.174274328866345
45,6.167489701633628,0.0,6.167489701633628,6.174274328866345
46,6.167563636830467,0.0,6.167563636830467,6.174274328866345
47,6.167532019294446,0.0,6.167532019294446,6.174274328866345
48,6.167597807543874,0.0,6.167597807543874,6.174274328866345
49,6.1676231115200455,0.0,6.1676231115200455,6.174274328866345
50,6.167796036869049,0.0,6.167796036869049,6.174274328866345
51,6.167752822284061,0.0,6.167752822284061,6.174274328866345
52,6.1676614788323425,0.0,6.1676614788323425,6.174274328866345
53,6.16757932352579,0.0,6.16757932352579,6.174274328866345
54,6.167728508418997,0.0,6.167728508418997,6.174274328866345
55,6.167742887826713,0.0,6.167742887826713,6.174274328866345
56,6.1678200285454325,0.0,6.1678200285454325,6.174274328866345
57,6.167884986033938,0.0,6.167884986033938,6.174274328866345
58,6.167854324768539,0.0,6.167854324768539,6.174274328866347
59,6.167796973276833,0.0,6.167796973276833,6.174274328866347
60,6.167810134495235,0.0,6.167810134495235,6.174274328866347
61,6.167699818908049,0.0,6.167699818908049,6.174274328866347
62,6.16767907521343,0.0,6.16767907521343,6.174274328866347
63,6.167717385077598,0.0,6.167717385077598,6.174274328866347
64,6.167711882706602,0.0,6.167711882706602,6.174274328866347
65,6.16772133403209,0.0,6.16772133403209,6.174274328866347
66,6.167724744110997,0.0,6.167724744110997,6.174274328866347
67,6.167709325865863,0.0,6.167709325865863,6.174274328866347
68,6.167724758693074,0.0,6.167724758693074,6.174274328866347
69,6.167825488860595,0.0,6.167825488860595,6.174274328866347
70,6.167808403836381,0.0,6.167808403836381,6.174274328866347
71,6.16787927003101,0.0,6.16787927003101,6.174274328866347
72,6.167787361299756,0.0,6.167787361299756,6.174274328866347
73,6.167795509691206,0.0,6.167795509691206,6.174274328866347
74,6.167823471472041,0.0,6.167823471472041,6.174274328866347
75,6.16786863769398,0.0,6.16786863769398,6.174274328866347
76,6.167893966282269,0.0,6.167893966282269,6.174274328866347
77,6.16785243861114,0.0,6.16785243861114,6.174274328866347
78,6.167805892347272,0.0,6.167805892347272,6.174274328866347
79,6.167815135443328,0.0,6.167815135443328,6.174274328866347
80,6.167879234349045,0.0,6.167879234349045,6.174274328866347
81,6.167859620517477,0.0,6.167859620517477,6.174274328866347
82,6.167830465408437,0.0,6.167830465408437,6.174274328866347
83,6.16782739939219,0.0,6.16782739939219,6.174274328866347
84,6.167793010663524,0.0,6.167793010663524,6.174274328866347
85,6.167804713428263,0.0,6.167804713428263,6.174274328866347
86,6.1677739466446,0.0,6.1677739466446,6.174274328866347
87,6.1677230286458595,0.0,6.1677230286458595,6.174274328866347
88,6.167696879441484,0.0,6.167696879441484,6.174274328866347
89,6.167657880342458,0.0,6.167657880342458,6.174274328866347
90,6.167651756635349,0.0,6.167651756635349,6.174274328866347
91,6.16762802472237,0.0,6.16762802472237,6.174274328866347
92,6.167646324242937,0.0,6.167646324242937,6.174274328866347
93,6.16766792234795,0.0,6.16766792234795,6.174274328866347
94,6.167687935117886,0.0,6.167687935117886,6.174274328866347
