,OC GP mean,OC GP sampled
0,250.711740735342,242.67665828764126
1,248.3138213962426,242.67665828764126
2,252.3056340861932,242.67665828764126
3,253.37186115892052,255.6815870950112
4,252.31248024355023,255.6815870950112
5,254.05440017781422,255.6815870950112
6,253.25684815348723,255.6815870950112
7,252.43326317145994,255.6815870950112
8,254.4681168624964,255.6815870950112
9,253.50598729553323,255.6815870950112
10,254.15906710132523,255.6815870950112
11,254.9308830574663,255.6815870950112
12,253.48143261227315,255.6815870950112
13,253.63555689670005,255.6815870950112
14,255.82193699152594,255.6815870950112
15,255.9326606365006,255.6815870950112
