,Opportunity_cost
0,268.7885001701711
1,268.7885001701711
2,127.80498957146531
3,111.76215346398502
4,87.21573174760215
5,80.1315753244076
6,79.85612823432209
7,79.85471548966882
8,79.85412720181725
9,79.85380887801585
10,79.85356834304307
11,79.85340258091318
12,79.85340258091318
13,79.85340258091318
14,79.85340258091318
15,79.85340258091318
16,79.85340258091318
17,79.85340258091318
18,79.85340258091318
19,79.85327472312781
20,79.85327472312781
21,79.85327472312781
22,79.85327472312781
23,79.85327472312775
24,79.85327472312775
25,79.85327472312781
26,79.85327472312781
27,79.85327472312781
28,79.85327472312781
29,79.85327472312781
30,79.85327472312781
31,79.85327472312781
32,79.85327472312781
33,79.85327472312781
34,79.85327472312781
